0,  -10,    0, -20
0, -7.5,    0, -20
0,   -5,    0, -20
0, -2.5,    0, -20
0,    0,    0, -20
0,   10,    0, -20
0,  7.5,    0, -20
0,    5,    0, -20
0,  2.5,    0, -20
0,  -10,    0, -15
0, -7.5,    0, -15
0,   -5,    0, -15
0, -2.5,    0, -15
0,    0,    0, -15
0,   10,    0, -15
0,  7.5,    0, -15
0,    5,    0, -15
0,  2.5,    0, -15
0,  -10,    0, -10
0, -7.5,    0, -10
0,   -5,    0, -10
0, -2.5,    0, -10
0,    0,    0, -10
0,   10,    0, -10
0,  7.5,    0, -10
0,    5,    0, -10
0,  2.5,    0, -10
0,    0,    0, -17.5
0,    0,    0, -22.5
0,    0,    0, -25
0,    0,    0, -27.5
0,    0,    0, -30
1,    0, 0.25, -5
1,    3, 0.25, -5
1,   -3, 0.25, -5
1, -7.5, 0.25, -7.5
1, -4.5, 0.25, -7.5
1, -1.5, 0.25, -7.5
1,  7.5, 0.25, -7.5
1,  4.5, 0.25, -7.5
1,  1.5, 0.25, -7.5
1,    0, 0.25, -12.5
1,    5, 0.25, -12.5
1,   -5, 0.25, -12.5
1,    5, 0.25, -17.5
1,   -5, 0.25, -17.5
1,    5, 0.25, -22.5
1,   -5, 0.25, -22.5
