2, 28.5,  -0.4, -35
2, 27.5,  -0.4, -35
2, 29.5,  -0.4, -35
2, 26.5,  -0.4, -35
2,   27,  -0.4, -36.5
2,   28,  -0.4, -36.5
2,   29,  -0.4, -36.5
2,   27,  -0.4, -33.5
2,   28,  -0.4, -33.5
2,   29,  -0.4, -33.5
3,   20,     0, 0
3,   23,     0, 3
3,   22,     0, 5
3,   20,     0, -2
3,   23,     0, -3
3,   17,     0, 5
3,   15,     0, 0
3, 22.5,     0, 3
3, 21.5,     0, 5
3, 20.5,     0, -2
3,   24,     0, -3
3,   19,     0, 5
4,   20,     0,-30
4,   23,     0,-32
4,   17,     0,-34
4,   25,     0,-36
4,   15,     0,-38
4,   27,     0,-40
5,   22,     0, 1
5, 25.5,     0, -3
5, 13.5,     0, 5
5, 29.5,     0, -2
5, 30.5,     0, -3
5, 26.5,     0, -5
5,   29,     0, 0
5, 22.5,     0, 6
5, 21.5,     0, 8
5, 20.5,     0, -4
5,   24,     0, -8
5,   19,     0, 4
